epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,9691.01,0.04005,0.98683,0.88396,0.67246,0.73599,0.77504,0.77458,0.0572,0.74717,0.16997,6.51683e-05,6.51683e-05,6.51683e-05
40,9938.63,0.04069,0.97751,0.88654,0.69314,0.71377,0.77526,0.77526,0.04218,0.73942,0.15827,6.41341e-05,6.41341e-05,6.41341e-05
41,10186,0.04026,0.96808,0.88628,0.68002,0.71694,0.77326,0.77282,0.05679,0.77403,0.17198,6.30998e-05,6.30998e-05,6.30998e-05
42,10433.4,0.03937,0.9622,0.88863,0.66441,0.75389,0.77632,0.77581,0.05053,0.75473,0.15869,6.20656e-05,6.20656e-05,6.20656e-05
43,10681.1,0.03903,0.95822,0.88595,0.69552,0.71306,0.77582,0.77582,0.0555,0.78332,0.16652,6.10313e-05,6.10313e-05,6.10313e-05
44,10928.5,0.03961,0.94873,0.88699,0.68436,0.73098,0.77568,0.77517,0.03556,0.76057,0.15211,5.99971e-05,5.99971e-05,5.99971e-05
45,11175.7,0.03836,0.93237,0.88585,0.66639,0.7474,0.77206,0.77167,0.03369,0.76357,0.14849,5.89628e-05,5.89628e-05,5.89628e-05
46,11422.9,inf,0.94801,0.88749,0.66024,0.7673,0.78275,0.78264,0.03363,0.74615,0.15191,5.79286e-05,5.79286e-05,5.79286e-05
47,11670,0.03753,0.93631,0.88627,0.66158,0.75518,0.77299,0.77273,0.04058,0.78522,0.15715,5.68943e-05,5.68943e-05,5.68943e-05
48,11917.2,0.03751,0.92537,0.88666,0.66658,0.74492,0.77475,0.77461,0.02477,0.74972,0.14263,5.58601e-05,5.58601e-05,5.58601e-05
49,12164.3,0.03628,0.92156,0.88497,0.67024,0.7548,0.78026,0.78024,0.03586,0.74534,0.15108,5.48258e-05,5.48258e-05,5.48258e-05
50,12411.5,0.03653,0.90799,0.88776,0.67214,0.75241,0.77808,0.77802,0.05465,0.78856,0.16828,5.37916e-05,5.37916e-05,5.37916e-05
51,12659,0.03631,0.91283,0.88643,0.66219,0.76285,0.77518,0.77513,0.0429,0.78661,0.16087,5.27573e-05,5.27573e-05,5.27573e-05
52,12906.2,0.03545,0.90892,0.88537,0.66295,0.75923,0.7808,0.7808,0.03041,0.76171,0.14864,5.17231e-05,5.17231e-05,5.17231e-05
53,13153.9,0.03572,0.89609,0.88462,0.68351,0.72425,0.775,0.77498,0.03028,0.79743,0.14757,5.06888e-05,5.06888e-05,5.06888e-05
